file	chr	start	end
./data/SNP_data/C08-5387739-12734665.snp.RData	C08	5387739	12734665
./data/SNP_data/C09-1-5896241.snp.RData	C09	1	5896241
./data/SNP_data/C09-13385732-18355833.snp.RData	C09	13385732	18355833
./data/SNP_data/C09-18355834-32131680.snp.RData	C09	18355834	32131680
./data/SNP_data/C09-32131681-39724941.snp.RData	C09	32131681	39724941
./data/SNP_data/C09-39724942-47090165.snp.RData	C09	39724942	47090165
./data/SNP_data/C09-47090166-48508109.snp.RData	C09	47090166	48508109
./data/SNP_data/C09-5896242-13385731.snp.RData	C09	5896242	13385731
./data/SNP_data/Cnn-1-12571181.snp.RData	Cnn	1	12571181
./data/SNP_data/Cnn-12571182-26706955.snp.RData	Cnn	12571182	26706955
./data/SNP_data/Cnn-26706956-39357723.snp.RData	Cnn	26706956	39357723
./data/SNP_data/Cnn-39357724-52853758.snp.RData	Cnn	39357724	52853758
./data/SNP_data/Cnn-52853759-67294783.snp.RData	Cnn	52853759	67294783
./data/SNP_data/Cnn-67294784-80671274.snp.RData	Cnn	67294784	80671274
