id	species	type
R4321	Brassica.napus	Winter
R4322	Brassica.napus	Winter
R4323	Brassica.napus	Winter
R4324	Brassica.napus	Winter
R4325	Brassica.napus	Winter
R4326	Brassica.napus	Spring
R4327	Brassica.napus	Spring
R4328	Brassica.napus	Winter
R4329	Brassica.napus	Winter
R4330	Brassica.napus	Winter
R4331	Brassica.napus	Winter
R4332	Brassica.napus	Winter
R4333	Brassica.napus	Winter
R4334	Brassica.napus	Winter
R4335	Brassica.napus	Winter
R4336	Brassica.napus	Winter
R4337	Brassica.napus	Winter
R4338	Brassica.napus	Spring
R4339	Brassica.napus	Spring
R4340	Brassica.napus	Winter
R4341	Brassica.napus	Winter
R4342	Brassica.napus	Winter
R4343	Brassica.napus	Winter
R4344	Brassica.napus	Winter
R4345	Brassica.napus	Winter
R4346	Brassica.napus	Winter
R4347	Brassica.napus	Winter
R4348	Brassica.napus	Winter
R4349	Brassica.napus	Winter
R4350	Brassica.napus	Winter
R4351	Brassica.napus	Winter
R4352	Brassica.napus	Winter
R4353	Brassica.napus	Spring
R4354	Brassica.napus	Winter
R4355	Brassica.napus	Winter
R4356	Brassica.napus	Winter
R4357	Brassica.napus	Winter
R4358	Brassica.napus	Winter
R4359	Brassica.napus	Winter
R4360	Brassica.napus	Winter
R4361	Brassica.napus	Winter
R4362	Brassica.napus	Winter
R4363	Brassica.napus	Spring
R4364	Brassica.napus	Spring
R4365	Brassica.napus	Spring
R4366	Brassica.napus	Winter
R4367	Brassica.napus	Winter
R4368	Brassica.napus	Winter
R4369	Brassica.napus	Winter
R4370	Brassica.napus	Winter
R4371	Brassica.napus	Winter
R4372	Brassica.napus	Winter
R4373	Brassica.napus	Winter
R4374	Brassica.napus	Winter
R4375	Brassica.napus	Winter
R4376	Brassica.napus	Winter
R4377	Brassica.napus	Winter
R4378	Brassica.napus	Winter
R4379	Brassica.napus	Winter
R4380	Brassica.napus	Winter
R4381	Brassica.napus	Winter
R4382	Brassica.napus	Winter
R4383	Brassica.napus	Winter
R4384	Brassica.napus	Winter
R4385	Brassica.napus	Winter
R4386	Brassica.napus	Winter
R4387	Brassica.napus	Spring
R4388	Brassica.napus	Winter
R4389	Brassica.napus	Winter
R4390	Brassica.napus	Winter
R4391	Brassica.napus	Spring
R4392	Brassica.napus	Winter
R4393	Brassica.napus	Winter
R4394	Brassica.napus	Spring
R4395	Brassica.napus	Spring
R4396	Brassica.napus	Winter
R4397	Brassica.napus	Winter
R4398	Brassica.napus	Winter
R4399	Brassica.napus	Winter
R4400	Brassica.napus	Winter
R4401	Brassica.napus	Winter
R4402	Brassica.napus	Winter
R4403	Brassica.napus	Winter
R4404	Brassica.napus	Winter
R4405	Brassica.napus	Spring
R4406	Brassica.napus	Winter
R4407	Brassica.napus	Winter
R4408	Brassica.napus	Spring
R4409	Brassica.napus	Spring
R4410	Brassica.napus	Winter
R4411	Brassica.napus	Winter
R4412	Brassica.napus	Winter
R4413	Brassica.napus	Spring
R4414	Brassica.napus	Winter
R4415	Brassica.napus	Winter
R4416	Brassica.napus	Winter
R4417	Brassica.napus	Winter
R4418	Brassica.napus	Winter
R4419	Brassica.napus	Winter
R4420	Brassica.napus	Winter
R4421	Brassica.napus	Spring
R4422	Brassica.napus	Spring
R4423	Brassica.napus	Winter
R4424	Brassica.napus	Winter
R4425	Brassica.napus	Spring
R4426	Brassica.napus	Spring
R4427	Brassica.napus	Winter
R4428	Brassica.napus	Winter
R4429	Brassica.napus	Winter
R4430	Brassica.napus	Spring
R4431	Brassica.napus	Winter
R4432	Brassica.napus	Winter
R4433	Brassica.napus	Winter
R4434	Brassica.napus	Spring
R4435	Brassica.napus	Spring
R4436	Brassica.napus	Winter
R4437	Brassica.napus	Winter
R4438	Brassica.napus	Winter
R4439	Brassica.napus	Winter
R4440	Brassica.napus	Spring
R4441	Brassica.napus	Winter
R4442	Brassica.napus	Winter
R4443	Brassica.napus	Winter
R4444	Brassica.napus	Winter
R4445	Brassica.napus	Winter
R4446	Brassica.napus	Spring
R4447	Brassica.napus	Winter
R4448	Brassica.napus	Spring
R4449	Brassica.napus	Winter
R4450	Brassica.napus	Winter
R4451	Brassica.napus	Winter
R4452	Brassica.napus	Winter
R4453	Brassica.napus	Winter
R4454	Brassica.napus	Winter
R4455	Brassica.napus	Spring
R4456	Brassica.napus	Spring
R4457	Brassica.napus	Winter
R4458	Brassica.napus	Winter
R4459	Brassica.napus	Winter
R4460	Brassica.napus	Winter
R4461	Brassica.napus	Winter
R4462	Brassica.napus	Winter
R4463	Brassica.napus	Winter
R4464	Brassica.napus	Winter
R4465	Brassica.napus	Winter
R4466	Brassica.napus	Winter
R4467	Brassica.napus	Winter
R4468	Brassica.napus	Winter
R4469	Brassica.napus	Winter
R4470	Brassica.napus	Winter
R4471	Brassica.napus	Winter
R4472	Brassica.napus	Winter
R4473	Brassica.napus	Winter
R4474	Brassica.napus	Winter
R4475	Brassica.napus	Winter
R4476	Brassica.napus	Winter
R4477	Brassica.napus	Winter
R4478	Brassica.napus	Spring
R4479	Brassica.napus	Winter
R4480	Brassica.napus	Winter
R4481	Brassica.napus	Winter
R4482	Brassica.napus	Winter
R4483	Brassica.napus	Winter
R4484	Brassica.napus	Winter
R4485	Brassica.napus	Winter
R4486	Brassica.napus	Winter
R4487	Brassica.napus	Winter
R4488	Brassica.napus	Winter
R4489	Brassica.napus	Winter
R4490	Brassica.napus	Winter
R4491	Brassica.napus	Spring
R4492	Brassica.napus	Winter
R4493	Brassica.napus	Winter
R4494	Brassica.napus	Winter
R4495	Brassica.napus	Winter
R4496	Brassica.napus	Spring
R4497	Brassica.napus	Winter
R4498	Brassica.napus	Spring
R4499	Brassica.napus	Winter
R4500	Brassica.napus	Winter
R4501	Brassica.napus	Winter
R4502	Brassica.napus	Winter
R4503	Brassica.napus	Winter
R4504	Brassica.napus	Winter
R4505	Brassica.napus	Winter
R4506	Brassica.napus	Winter
R4507	Brassica.napus	Winter
R4508	Brassica.napus	Spring
R4509	Brassica.napus	Spring
R4510	Brassica.napus	Winter
R4511	Brassica.napus	Winter
R4512	Brassica.napus	Winter
R4513	Brassica.napus	Spring
R4514	Brassica.napus	Winter
R4515	Brassica.napus	Winter
R4516	Brassica.napus	Spring
R4517	Brassica.napus	Winter
R4518	Brassica.napus	Winter
R4519	Brassica.napus	Winter
R4520	Brassica.napus	Winter
R4521	Brassica.napus	Spring
R4522	Brassica.napus	Spring
R4523	Brassica.napus	Winter
R4524	Brassica.napus	Winter
R4525	Brassica.napus	Winter
R4526	Brassica.napus	Winter
R4527	Brassica.napus	Winter
R4528	Brassica.napus	Winter
R4529	Brassica.napus	Winter
R4530	Brassica.napus	Winter
R4531	Brassica.napus	Winter
R4532	Brassica.napus	Winter
R4533	Brassica.napus	Winter
R4534	Brassica.napus	Winter
R4535	Brassica.napus	Winter
R4536	Brassica.napus	Spring
R4537	Brassica.napus	Winter
R4538	Brassica.napus	Winter
R4539	Brassica.napus	Winter
R4540	Brassica.napus	Winter
R4541	Brassica.napus	Winter
R4542	Brassica.napus	Winter
R4543	Brassica.napus	Winter
R4544	Brassica.napus	Winter
R4545	Brassica.napus	Winter
R4546	Brassica.napus	Winter
R4547	Brassica.napus	Winter
R4548	Brassica.napus	Winter
R4549	Brassica.napus	Winter
R4550	Brassica.napus	Winter
R4551	Brassica.napus	Winter
R4552	Brassica.napus	Spring
R4553	Brassica.napus	Winter
R4554	Brassica.napus	Spring
R4555	Brassica.napus	Winter
R4556	Brassica.napus	Winter
R4557	Brassica.napus	Winter
R4558	Brassica.napus	Winter
R4559	Brassica.napus	Winter
R4560	Brassica.napus	Winter
R4561	Brassica.napus	Winter
R4562	Brassica.napus	Winter
R4563	Brassica.napus	Spring
R4564	Brassica.napus	Winter
R4565	Brassica.napus	Winter
R4566	Brassica.napus	Winter
R4567	Brassica.napus	Winter
R4568	Brassica.napus	Winter
R4569	Brassica.napus	Winter
R4570	Brassica.napus	Winter
R4571	Brassica.napus	Winter
R4572	Brassica.napus	Winter
R4573	Brassica.napus	Spring
R4574	Brassica.napus	Winter
R4575	Brassica.napus	Winter
R4576	Brassica.napus	Winter
R4577	Brassica.napus	Winter
R4578	Brassica.napus	Winter
R4579	Brassica.napus	Winter
R4580	Brassica.napus	Spring
R4581	Brassica.napus	Winter
R4582	Brassica.napus	Winter
R4583	Brassica.napus	Winter
R4584	Brassica.napus	Spring
R4585	Brassica.napus	Winter
R4586	Brassica.napus	Winter
R4587	Brassica.napus	Winter
R4588	Brassica.napus	Winter
R4589	Brassica.napus	Winter
R4590	Brassica.napus	Winter
R4591	Brassica.napus	Winter
R4592	Brassica.napus	Winter
R4593	Brassica.napus	Winter
R4594	Brassica.napus	Winter
R4595	Brassica.napus	Winter
R4596	Brassica.napus	Winter
R4597	Brassica.napus	Winter
R4598	Brassica.napus	Winter
R4599	Brassica.napus	Winter
R4600	Brassica.napus	Winter
R4601	Brassica.napus	Winter
R4602	Brassica.napus	Winter
R4603	Brassica.napus	Winter
R4604	Brassica.napus	Winter
R4605	Brassica.napus	Winter
R4606	Brassica.napus	Winter
R4607	Brassica.napus	Winter
R4608	Brassica.napus	Winter
R4609	Brassica.napus	Winter
R4610	Brassica.napus	Winter
R4611	Brassica.napus	Winter
R4612	Brassica.napus	Winter
R4613	Brassica.napus	Winter
R4614	Brassica.napus	Winter
R4615	Brassica.napus	Winter
R4616	Brassica.napus	Winter
R4617	Brassica.napus	Winter
R4618	Brassica.napus	Winter
R4619	Brassica.napus	Winter
R4620	Brassica.napus	Winter
R4621	Brassica.napus	Winter
R4622	Brassica.napus	Winter
R4623	Brassica.napus	Winter
R4624	Brassica.napus	Winter
R4625	Brassica.napus	Winter
R4626	Brassica.napus	Winter
R4627	Brassica.napus	Winter
R4628	Brassica.napus	Winter
R4629	Brassica.napus	Winter
R4630	Brassica.napus	Winter
R4631	Brassica.napus	Winter
R4632	Brassica.napus	Winter
R4633	Brassica.napus	Winter
R4634	Brassica.napus	Spring
R4635	Brassica.napus	Winter
R4636	Brassica.napus	Winter
R4637	Brassica.napus	Winter
R4638	Brassica.napus	Winter
R4639	Brassica.napus	Winter
R4640	Brassica.napus	Winter
R4641	Brassica.napus	Winter
R4642	Brassica.napus	Winter
R4643	Brassica.napus	Winter
R4644	Brassica.napus	Winter
R4645	Brassica.napus	Winter
R4646	Brassica.napus	Winter
R4647	Brassica.napus	Winter
R4648	Brassica.napus	Winter
R4649	Brassica.napus	Spring
R4650	Brassica.napus	Winter
R4651	Brassica.napus	Winter
R4652	Brassica.napus	Winter
R4653	Brassica.napus	Winter
R4654	Brassica.napus	Winter
R4655	Brassica.napus	Winter
R4656	Brassica.napus	Winter
R4657	Brassica.napus	Winter
R4658	Brassica.napus	Winter
R4659	Brassica.napus	Winter
R4660	Brassica.napus	Winter
R4661	Brassica.napus	Winter
R4662	Brassica.napus	Winter
R4663	Brassica.napus	Winter
R4664	Brassica.napus	Winter
R4665	Brassica.napus	Winter
R4666	Brassica.napus	Winter
R4667	Brassica.napus	Winter
R4668	Brassica.napus	Winter
R4669	Brassica.napus	Winter
R4670	Brassica.napus	Winter
R4671	Brassica.napus	Winter
R4672	Brassica.napus	Winter
R4673	Brassica.napus	Winter
R4674	Brassica.napus	Winter
R4675	Brassica.napus	Winter
R4676	Brassica.napus	Winter
R4677	Brassica.napus	Winter
R4678	Brassica.napus	Winter
R4679	Brassica.napus	Winter
R4680	Brassica.napus	Winter
R4681	Brassica.napus	Winter
R4682	Brassica.napus	Winter
R4683	Brassica.napus	Winter
R4684	Brassica.napus	Winter
R4685	Brassica.napus	Winter
R4686	Brassica.napus	Winter
R4687	Brassica.napus	Spring
R4688	Brassica.napus	Winter
R4689	Brassica.napus	Winter
R4690	Brassica.napus	Winter
R4691	Brassica.napus	Winter
R4692	Brassica.napus	Winter
R4693	Brassica.napus	Spring
R4694	Brassica.napus	Winter
R4695	Brassica.napus	Spring
R4696	Brassica.napus	Spring
R4697	Brassica.napus	Winter
R4698	Brassica.napus	Spring
R4699	Brassica.napus	Winter
R4700	Brassica.napus	Spring
R4701	Brassica.napus	Winter
R4702	Brassica.napus	Winter
R4703	Brassica.napus	Winter
R4704	Brassica.napus	Winter
R4705	Brassica.napus	Winter
R4706	Brassica.napus	Spring
R4707	Brassica.napus	Winter
R4708	Brassica.napus	Winter
R4709	Brassica.napus	Winter
R4710	Brassica.napus	Winter
R4711	Brassica.napus	Semi-Winter
R4712	Brassica.napus	Winter
R4713	Brassica.napus	Winter
R4714	Brassica.napus	Winter
R4715	Brassica.napus	Winter
R4716	Brassica.napus	Winter
R4717	Brassica.napus	Semi-Winter
R4718	Brassica.napus	Semi-Winter
R4719	Brassica.napus	Winter
R4720	Brassica.napus	Semi-Winter
R4721	Brassica.napus	Semi-Winter
R4722	Brassica.napus	Winter
R4723	Brassica.napus	Winter
R4724	Brassica.napus	Winter
R4725	Brassica.napus	Semi-Winter
R4726	Brassica.napus	Winter
R4727	Brassica.napus	Spring
R4728	Brassica.napus	Semi-Winter
R4729	Brassica.napus	Semi-Winter
R4730	Brassica.napus	Semi-Winter
R4731	Brassica.napus	Semi-Winter
R4732	Brassica.napus	Spring
R4733	Brassica.napus	Spring
R4734	Brassica.napus	Winter
R4735	Brassica.napus	Winter
R4736	Brassica.napus	Winter
R4737	Brassica.napus	Winter
R4738	Brassica.napus	Winter
R4739	Brassica.napus	Winter
R4740	Brassica.napus	Winter
R4741	Brassica.napus	Winter
R4742	Brassica.napus	Winter
R4743	Brassica.napus	Winter
R4744	Brassica.napus	Winter
R4745	Brassica.napus	Spring
R4746	Brassica.napus	Winter
R4747	Brassica.napus	Winter
R4748	Brassica.napus	Winter
R4749	Brassica.napus	Winter
R4750	Brassica.napus	Spring
R4751	Brassica.napus	Winter
R4752	Brassica.napus	Winter
R4753	Brassica.napus	Spring
R4754	Brassica.napus	Winter
R4755	Brassica.napus	Winter
R4756	Brassica.napus	Winter
R4757	Brassica.napus	Winter
R4758	Brassica.napus	Winter
R4759	Brassica.napus	Winter
R4760	Brassica.napus	Winter
R4761	Brassica.napus	Winter
R4762	Brassica.napus	Winter
R4763	Brassica.napus	Winter
R4764	Brassica.napus	Winter
R4765	Brassica.napus	Winter
R4766	Brassica.napus	Winter
R4767	Brassica.napus	Winter
R4768	Brassica.napus	Winter
R4769	Brassica.napus	Winter
R4770	Brassica.napus	Winter
R4771	Brassica.napus	Winter
R4772	Brassica.napus	Winter
R4773	Brassica.napus	Winter
R4774	Brassica.napus	Winter
R4775	Brassica.napus	Spring
R4776	Brassica.napus	Winter
R4777	Brassica.napus	Winter
R4778	Brassica.napus	Winter
R4779	Brassica.napus	Winter
R4780	Brassica.napus	Winter
R4781	Brassica.napus	Winter
R4782	Brassica.napus	Winter
R4783	Brassica.napus	Winter
R4784	Brassica.napus	Winter
R4785	Brassica.napus	Winter
R4786	Brassica.napus	Winter
R4787	Brassica.napus	Winter
R4788	Brassica.napus	Winter
R4789	Brassica.napus	Winter
R4790	Brassica.napus	Winter
R4791	Brassica.napus	Winter
R4792	Brassica.napus	Winter
R4793	Brassica.napus	Winter
R4794	Brassica.napus	Winter
R4795	Brassica.napus	Winter
R4796	Brassica.napus	Winter
R4797	Brassica.napus	Winter
R4798	Brassica.napus	Spring
R4799	Brassica.napus	Winter
R4800	Brassica.napus	Winter
R4801	Brassica.napus	Winter
R4802	Brassica.napus	Winter
R4803	Brassica.napus	Winter
R4804	Brassica.napus	Winter
R4805	Brassica.napus	Winter
R4806	Brassica.napus	Winter
R4807	Brassica.napus	Spring
R4808	Brassica.napus	Winter
R4809	Brassica.napus	Winter
R4810	Brassica.napus	Winter
R4811	Brassica.napus	Winter
R4812	Brassica.napus	Winter
R4813	Brassica.napus	Winter
R4814	Brassica.napus	Winter
R4815	Brassica.napus	Winter
R4816	Brassica.napus	Winter
R4817	Brassica.napus	Winter
R4818	Brassica.napus	Winter
R4819	Brassica.napus	Winter
R4820	Brassica.napus	Winter
R4821	Brassica.napus	Winter
R4822	Brassica.napus	Winter
R4823	Brassica.napus	Winter
R4824	Brassica.napus	Winter
R4825	Brassica.napus	Winter
R4826	Brassica.napus	Winter
R4827	Brassica.napus	Winter
R4828	Brassica.napus	Winter
R4829	Brassica.napus	Winter
R4830	Brassica.napus	Winter
R4831	Brassica.napus	Winter
R4832	Brassica.napus	Winter
R4833	Brassica.napus	Winter
R4834	Brassica.napus	Spring
R4835	Brassica.napus	Winter
R4836	Brassica.napus	Winter
R4837	Brassica.napus	Winter
R4838	Brassica.napus	Winter
R4839	Brassica.napus	Winter
R4840	Brassica.napus	Winter
R4841	Brassica.napus	Winter
R4842	Brassica.napus	Winter
R4843	Brassica.napus	Winter
R4844	Brassica.napus	Spring
R4845	Brassica.napus	Winter
R4846	Brassica.napus	Winter
R4847	Brassica.napus	Winter
R4848	Brassica.napus	Winter
R4849	Brassica.napus	Winter
R4850	Brassica.napus	Winter
R4851	Brassica.napus	Spring
R4852	Brassica.napus	Winter
R4853	Brassica.napus	Winter
R4854	Brassica.napus	Winter
R4855	Brassica.napus	Winter
R4856	Brassica.napus	Spring
R4857	Brassica.napus	Winter
R4858	Brassica.napus	Spring
R4859	Brassica.napus	Winter
R4860	Brassica.napus	Spring
R4861	Brassica.napus	Winter
R4862	Brassica.napus	Winter
R4863	Brassica.napus	Winter
R4864	Brassica.napus	Winter
R4865	Brassica.napus	Winter
R4866	Brassica.napus	Spring
R4867	Brassica.napus	Spring
R4868	Brassica.napus	Winter
R4869	Brassica.napus	Spring
R4870	Brassica.napus	Winter
R4871	Brassica.napus	Winter
R4872	Brassica.napus	Spring
R4873	Brassica.napus	Winter
R4874	Brassica.napus	Winter
R4875	Brassica.napus	Winter
R4876	Brassica.napus	Winter
R4877	Brassica.napus	Winter
R4878	Brassica.napus	Spring
R4879	Brassica.napus	Winter
R4880	Brassica.napus	Winter
R4881	Brassica.napus	Winter
R4882	Brassica.napus	Winter
R4883	Brassica.napus	Winter
R4884	Brassica.napus	Winter
R4885	Brassica.napus	Winter
R4886	Brassica.napus	Winter
R4887	Brassica.napus	Winter
R4888	Brassica.napus	Winter
R4889	Brassica.napus	Winter
R4890	Brassica.napus	Winter
R4891	Brassica.napus	Semi-Winter
R4892	Brassica.napus	Semi-Winter
R4893	Brassica.napus	Semi-Winter
R4894	Brassica.napus	Semi-Winter
R4895	Brassica.napus	Semi-Winter
R4896	Brassica.napus	Semi-Winter
R4897	Brassica.napus	Spring
R4898	Brassica.napus	Winter
R4899	Brassica.napus	Spring
R4900	Brassica.napus	Winter
R4901	Brassica.napus	Winter
R4902	Brassica.napus	Winter
R4903	Brassica.napus	Winter
R4904	Brassica.napus	Winter
R4905	Brassica.napus	Winter
R4906	Brassica.napus	Spring
R4907	Brassica.napus	Spring
R4908	Brassica.napus	Winter
R4909	Brassica.napus	Winter
R4910	Brassica.napus	Winter
R4911	Brassica.napus	Winter
R4912	Brassica.napus	Winter
R4913	Brassica.napus	Winter
R4914	Brassica.napus	Winter
R4915	Brassica.napus	Winter
R4916	Brassica.napus	Winter
R4917	Brassica.napus	Winter
R4918	Brassica.napus	Winter
R4919	Brassica.napus	Winter
R4920	Brassica.napus	Winter
R4921	Brassica.napus	Winter
R4922	Brassica.napus	Winter
R4923	Brassica.napus	Winter
R4924	Brassica.napus	Winter
R4925	Brassica.napus	Winter
R4926	Brassica.napus	Winter
R4927	Brassica.napus	Winter
R4928	Brassica.napus	Winter
R4929	Brassica.napus	Winter
R4930	Brassica.napus	Winter
R4931	Brassica.napus	Winter
R4932	Brassica.napus	Winter
R4933	Brassica.napus	Winter
R4934	Brassica.napus	Winter
R4935	Brassica.napus	Winter
R4936	Brassica.napus	Spring
R4937	Brassica.napus	Spring
R4938	Brassica.napus	Spring
R4939	Brassica.napus	Spring
R4940	Brassica.napus	Winter
R4941	Brassica.napus	Spring
R4942	Brassica.napus	Spring
R4943	Brassica.napus	Winter
R4944	Brassica.napus	Winter
R4945	Brassica.napus	Spring
R4946	Brassica.napus	Winter
R4947	Brassica.napus	Spring
R4948	Brassica.napus	Winter
R4949	Brassica.napus	Spring
R4950	Brassica.napus	Winter
R4951	Brassica.napus	Winter
R4952	Brassica.napus	Winter
R4953	Brassica.napus	Spring
R4954	Brassica.napus	Spring
R4955	Brassica.napus	Spring
R4956	Brassica.napus	Spring
R4957	Brassica.napus	Winter
R4958	Brassica.napus	Winter
R4959	Brassica.napus	Winter
R4960	Brassica.napus	Winter
R4961	Brassica.napus	Winter
R4962	Brassica.napus	Winter
R4963	Brassica.napus	Winter
R4964	Brassica.napus	Winter
R4965	Brassica.napus	Winter
R4966	Brassica.napus	Spring
R4967	Brassica.napus	Winter
R4968	Brassica.napus	Spring
R4969	Brassica.napus	Spring
R4970	Brassica.napus	Spring
R4971	Brassica.napus	Winter
R4972	Brassica.napus	Spring
R4973	Brassica.napus	Winter
R4974	Brassica.napus	Winter
R4975	Brassica.napus	Winter
R4976	Brassica.napus	Winter
R4977	Brassica.napus	Winter
R4978	Brassica.napus	Winter
R4979	Brassica.napus	Winter
R4980	Brassica.napus	Winter
R4981	Brassica.napus	Winter
R4982	Brassica.napus	Spring
R4983	Brassica.napus	Winter
R4984	Brassica.napus	Winter
R4985	Brassica.napus	Winter
R4986	Brassica.napus	Spring
R4987	Brassica.napus	Spring
R4988	Brassica.napus	Spring
R4989	Brassica.napus	Semi-Winter
R4990	Brassica.napus	Semi-Winter
R4991	Brassica.napus	Semi-Winter
R4992	Brassica.napus	Semi-Winter
R4993	Brassica.napus	Spring
R4994	Brassica.napus	Spring
R4995	Brassica.napus	Spring
R4996	Brassica.napus	Spring
R4997	Brassica.napus	Semi-Winter
R4998	Brassica.napus	Semi-Winter
R4999	Brassica.napus	Semi-Winter
R5000	Brassica.napus	Semi-Winter
R5001	Brassica.napus	Semi-Winter
R5002	Brassica.napus	Spring
R5003	Brassica.napus	Spring
R5004	Brassica.napus	Spring
R5005	Brassica.napus	Spring
R5006	Brassica.napus	Semi-Winter
R5007	Brassica.napus	Spring
R5008	Brassica.napus	Spring
R5009	Brassica.napus	Spring
R5010	Brassica.napus	Semi-Winter
R5011	Brassica.napus	Spring
R5012	Brassica.napus	Semi-Winter
R5013	Brassica.napus	Spring
R5014	Brassica.napus	Spring
R5015	Brassica.napus	Spring
R5016	Brassica.napus	Spring
R5017	Brassica.napus	Semi-Winter
R5018	Brassica.napus	Semi-Winter
R5019	Brassica.napus	Spring
R5020	Brassica.napus	Spring
